ma_khach_hang,noi_dung_binh_luan,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham,content_new,sentiment
2647,"Bông cũng được, nhưng cái viền sắc quá hay làm rát mặt, dễ xước mặt nên không mua lại",15/02/2022,14:41,2,422203300,viền_sắc khô xước,1
3508,"hàng chuẩn giao hàng nhanh, đắp rất thích da mướt mịn hẳn",1/10/2021,4:50,5,386000044,chuẩn đắp thích mướt mịn hẳn,0
2484,"đã dùng qua nhiều loại kem chống nắng nhưng ưng nhất là loại này, kem tệp với màu da, dễ tán đều và không bị trôi khi đổ mồ hôi",10/3/2022,16:20,5,422204388,chống ưng tệp tán trôi đổ,0
4003,"Mới dùng ngày đầu tiên, thấy da ráo dầu mà không bị khô da. Nhìn da mặt sạch hơn hẳn so với dùng sản phẩm cũ.",31/05/2022,13:52,5,422205673,khô sạch hẳn cũ,0
3626,"da nhạy cảm, da hỗn hợp thiên khô xài êm ko kích ứng ạ có nâng tone một chút nhưng tự nhiên kem mỏng nhẹ ko nặng mặt hay cay mắt",30/10/2024,17:25,5,343100024,hỗn_hợp xài nâng mỏng nhẹ không_nặng khô,0
3176,Hài lòng . dưỡng da tốt .,10/7/2020,22:49,5,345800001,tốt,0
2405,SẢN PHẨM OK NHA AD,26/04/2023,18:41,5,308500018,,0
681,"Mùi hương rất dễ chịu, làm mát da nhanh, giá thành hợp lý",30/04/2023,15:02,5,204100019,dễ_chịu mát,0
319,"Mới vào hsk mua mà về thấy kiểu bị tách nước sao á, loại này chỉ thời tiết lạnh dùng ổn cho da dầu mụn như mình, xài mấy típ, cũng quây về vs nó dưỡng da ổn",7/7/2024,23:26,4,422204167,tách thời_tiết lạnh ổn mụn xài quây dưỡng ổn,0
132,"Bông tốt , đường viền chắn chắn, không bi xơ hay tưa bông,bông mềm mịn .",25/05/2023,11:14,5,422212331,tốt chắn chắn khô tưa mềm,0
2723,"Dạng sữa thắm hơi lâu và rất rất rất là cay luôn ,tuy đã rửa mặt nhưng vẫn còn rất cay, ngày nào xài cũng bị vậy",9/6/2023,13:34,3,248700035,thắm hơi rửa xài,1
575,"Mình đã dùng thử và cực cực cực kì hài lòng với sản phẩm Chống nắng tốt, nâng tông và không gây khó chịu cho làn da Mình là da khô hơi nhạy cảm dễ lên mụn nhưng thấy sử dụng rất tốt",29/05/2024,9:02,5,253900006,thử cực_cực hài_lòng chống tốt nâng không_gây khó_chịu khô hơi nhạy_cảm mụn tốt,0
2887,"Mình đã sử dụng liên tục sản phẩm này trong vòng hơn 1 tháng gần qua 2 tháng rồi thì mình quan sát kĩ thấy nền da mình có cải thiện rõ rệt về chân nám mờ dần đi hẳn luôn. Texture lỏng nhẹ, thoa là thấm cực kì nhanh, nhẹ da nữa, cho nên mình cực kì thích luôn. Packaging thủy tinh, nặng tay, thông tin đầy đủ, khá chi tiết nên đây là điểm cộng. Đánh giá: 9/10, 1 điểm trừ ở việc khá hao hị hị, đối với các bạn yêu thích dưỡng trắng và có tình trạng thâm nám nhẹ thì dùng thường xuyên sẽ hết hẳn luôn",25/01/2021,13:49,5,422202580,trọng_vòng quân_sát kĩ rõ_rệt mờ dần hẳn lỏng nhẹ thấm nhẹ cực_kì thích packaging thông_thiếc tiết cộng trừ hảo_hị yêu trắng thâm_nám nhẹ hẳn,0
677,Mình rất thích Hasaki và sản phẩm tẩy trang này,3/5/2023,18:31,5,200400004,thích hasaki,0
2344,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ.",1/5/2023,20:04,5,308500004,dễ_dàng thoải_mái,0
2893,"Sản phẩm bao bì đẹp, thấm nhanh, mình tông da khó trắng dùng gần 1 lọ lên tông hẳn luôn, đều màu hơn rõ, kèm theo dễ thoa dễ dùng, cấp ẩm tốt",1/2/2021,13:41,5,422202580,đẹp thấm tông trắng lọ tông hẳn kèm tốt,0
182,"tẩy trang tốt, nhưng quà tặng không có kèm theo, để chưng z thôi",28/05/2022,14:22,4,422204259,tốt tặng kèm chưng,0
3810,đây là lọ kem dưỡng ẩm mà tui xài hết cả hủ....kem thấm đã ghê,14/05/2024,8:44,5,422209048,ẩm xài ghê,0
1637,"Mình da khô, tuy nhiên dùng vichy dưỡng ẫm serum bình thường nhưng vẫn rất dễ tán hơn rất nhiều so vs laroch bản cũ. Kem nâng tông chắc tầm nửa tông thôi. Mình da khô bôi thấy da vẫn hơi ẩm k bị khô căng như martiderm",24/07/2024,11:32,5,100160022,khô_nhiên ẫm_serum dễ_tán cũ nâng nửa_tông khô bôi hơi ẩm không_bị khô căng,0
706,Mình rất thích hasaki và sản phẩm tẩy trang này,28/04/2023,18:32,5,100230064,thích hasaki,0
414,"Mình thấy có số công bố bộ y tế trên sản phẩm nhưng click vào thì không có, cái này hasaki có thể gửi mình tham khảo về sản phẩm chính hãng được không ạ?",30/03/2023,13:04,5,422208976,nhấp chuột hasaki gửi khảo,0
441,Lần truóc dùng ổn lắm mà lần này mùi cồn nồng nặc lun á,12/11/2022,10:11,4,249500027,truóc ổn lắm nồng_nặc,0
1469,hợp với dầu nhưng mắc quá,5/1/2022,1:03,4,204900056,hợp mắc,0
380,"Bản thân tui có da dầu nhạy cảm rất dễ nổi mụn nên mình rất kén trong việc lựa chọn mỹ phẩm, đặc biệt là các sản phẩm làm sạch. Sữa rửa mặt Cerave Foaming có bảng thành phần lành tính, độ pH lý tưởng, khả năng làm sạch nhẹ nhàng mà vẫn rất hiệu quả, do đó, mình đã thử sử dụng và cảm thấy rất thích. Sản phẩm này đã trở thành item không thể thiếu trong quy trình chăm sóc da của mình”. Thấy đi đâu bác sĩ cũng khuyên dùng.",22/04/2024,15:21,5,422208976,nổi foaming_năng chăm bác_sĩ khuyên,0
2019,"Mua lần thứ 2 em chống nắng này rồi ,giá bình dân ,dễ tán nâng toner nhẹ thôi nhưng tự nhiên rất đáng mua nha",20/11/2022,17:14,5,249500019,chống tán nâng nhẹ tự_nhiên,0
777,"e này thì OK khỏi bàn, Thích nhất dịch vụ của giao hàng của hasaki, dù dịch như giao hàng ở tỉnh khá nhanh.",20/09/2021,16:36,5,100230057,đồng_ý bàn_thích dịch,0
787,Em này dùng cực thích dịu nhẹ. Nhưng chỉ hợp với tẩy trang mỏng nhẹ. Nhưng bạn nào make up dày và lì thì nhớ tẩy trang thật kĩ nha,22/06/2021,8:29,5,100230057,cực thích dịu nhẹ hợp mỏng nhẹ dày lì nhớ_tẩy,0
2528,"sản phẩm cho da dầu thôi, dầu mụn nên cân nhắc vì trong các bước chăm sóc có sd thuốc đặc trị mụn nên khi bôi kem cấp ẩm này lâu thấm cực kì, nếu có dùng thì chỉ dùng được buổi tối và bôi 1 lớp thật mỏng thôi. Tóm lại là da dầu mụn nên cân nhắc",15/07/2021,8:34,3,343700002,mụn cân_nhắc chăm_sóc mụn bôi lâu_thấm bôi mỏng mụn,1
201,Sản phẩm tốt nhưng k có quà tặng. Làm mình tưởng có nên k mua btt.,18/06/2022,9:17,4,422204259,tốt tặng tưởng,0
378,"Loại dành cho da thường đến da dầu nhưng rửa mặt xong sau khoảng 1h thì da mình vẫn lên dầu, nhiều hơn so với lúc trước dùng Cetaphil. Nhưng chai gần 500ml mà sử dụng trong tận 1 năm hơn là rất tiết kiệm và hợp lý luôn, trong khi Cetaphil có dung tích tương đương thì mình dùng trong khoảng 6 tháng.",31/05/2024,22:45,4,422208974,rửa tiết_kiệm hợp_lý trọng_cetaphil,0
223,"Tẩy trang sạch, có lớp dầu giữ ẩm cho da, không bị khô da.",14/02/2022,20:59,5,205100136,sạch khô,0
1467,"dùng thấy hợp vs da mik, vs tạo bọt siêu thích, giá cũng ok",10/2/2022,7:41,5,204900004,hợp,0
1487,"Thật sự cực thích srm này , sẽ mua xài lâu dài Đã mua 2 lần rồi",10/1/2021,12:01,5,204900004,cực thích xài,0
324,"mùi trái cây thơm nhẹ, tẩy da chết dịu nhẹ không làm khô da. giá cả hợp lý",12/9/2020,17:15,5,245500009,thơm chết dịu nhẹ khô,0
142,"da mình bị kích ứng với alcohol, nhưng dùng e tẩy trang này êm, tẩy trang chống nắng và lớp make up sạch và ko khô da",30/04/2023,12:02,5,422206648,kích_ứng êm_tẩy chống sạch,0
2553,"Đã mua chai Pro Acne 5in1 này vài lần rồi, đóng gói kỹ và giao hàng nhanh, chỉ tiếc vừa rồi lỡ mất khung deal. Chất lượng thì không cần phải nói nhiều, da mụn và cần giải quyết các vấn đề liên quan tới dầu nhờn, thâm, lỗ chân lông thì phải dùng ngày chai này.",9/11/2020,16:19,5,204100018,đóng_gói kỹ tiếc lỡ giải_quyết liên_quân nhờn,0
1245,Bông tẩy trang này xài rất thích bông rất dai nên mua,11/6/2023,13:56,5,422212331,xài thích,0
2336,"Sử dụng dễ giàng, rất thoải mái,thư giản tột độ.",2/5/2023,16:23,5,422205163,giàng thoải_mái,0
3362,"Em Vichy này dùng thích lám, mát da và cự kỳ thấm nhanh vào da cho cảm giác khô thoáng nhẹ tênh. Good",22/06/2019,10:13,5,201600019,thích lám_mát cự_kỳ thấm_chóng khô_thoáng nhẹ tốt,0
2434,"Da mặt của mình rất nhạy cảm, nhưng thật may tìm được mask này cực hợp với da mình, mà thật tiếc là mask này hết hàng lâu quá, chờ đợi mãi vẫn chưa thấy mask này có hàng lại. Mong là Hasaki sẽ sớm sớm có lại mẫu mask này nhé!!!",27/02/2021,20:52,5,422205164,nhạy_cảm cực_hợp tiếc chờ_đợi mãi,0
2523,"Môi mình đã giảm thâm rất nhiều, khi sử dụng sản phẩm này thời gian dài . Mình dùng cũng 5 năm r , và sẽ k thay đổi",20/08/2023,14:23,5,200500293,thâm không_đổi,0
1282,mua đi mua lại mua mãi mua hoài không thôi 9/10nha máy chế,11/10/2021,9:44,5,422216603,đi_lại mãi hoài,0
742,Nói được tặng bông tẩy trang mà khi giao hàng không có tặng gì kể cả gel rửa mặt,16/09/2022,13:35,4,200400003,tặng tặng rửa,0
1370,"cấp ẩm ổn, những vết thâm mới thì làm mờ tốt, thâm cũ thì dùng hết 1 chai chưa thấy mờ",15/04/2023,16:18,3,318900002,ẩm_ổn thâm mờ tốt cũ mờ,1
384,"Mình đánh giá cao sản phẩm này, da mình siêu cấp nhạy cảm, mình ko dùng dc kcn của 1004 sau khi thoa gần như kích ứng ngay lập tức phải rửa mặt luôn nhưng sp này lại không hề mình đã thoa hết lọ trên nền da có mụn, lớp cuối ngày nhìn da mình đẹp hơn, để trong ngày rất ráo mặt ko vân kem ko dễ trôi nhưng nếu đi ra ngoài mồ hôi thì trôi sạch mình làm ở nhà nên ko ra ngoài ko đổ mồ hôi. Đúng là sp có mùi cồn làm cay mắt nhé nhưng mình vẫn ưng sp này vô cùng, làn da có mụn thì nên tẩy trang kỹ.100d",29/10/2023,9:58,5,422212097,sản_phẩm siêu_cấp kcn kích_ứng rửa không_hề mụn đẹp trọng_ngày ráo_mặt không_vân trôi trôi sạch ưng tẩy kỹ,0
1061,"Mình dùng chai nắp hồng nhe, dịu nhẹ lành tính oki lắm mng",15/08/2023,0:07,5,422204910,nhẹ lành_tính lắm,0
3533,"Mình bị viêm da tiết bã và mụn rosacea xài các sản phẩm skin1004 hầu như ko hợp, da của mình là hỗn hợp thiên khô đôi khi là khô. Dùng 1 mình chai này sau khi ms rửa mặt khi da còn 1 chút ẩm, thì mình vẫn bị kích ứng đỏ vào ngày hôm sau, có khi nổi vết ngứa li ti. Còn khi dùng chai này kết hợp vs kem dưỡng mỏng nhẹ như Cerave/Bioderma cicabio thì da khá ẩm nhưng vì kết hợp 2 sản phẩm nên chất bị dày, vì vậy cách này chỉ hợp cho bạn nào nằm máy lạnh. Tóm lại mình thấy chai này hợp vs các bạn da dầu, hỗn hợp thiên dầu. Còn xài 1 mình chai này mà ko có kết hợp vs sản phẩm khác thì chưa đủ, các bạn chỉ muon sd 1 sp r đi ngủ nên mua kem dưỡng ẩm khác",18/12/2022,12:22,4,422202629,tiết_bã mụn rosacea_xài thiên_khô khô rửa ẩm kích_ứng đỏ nổi kết_hợp mỏng nhẹ bioderma ẩm kết_hợp sản_phẩm dày hợp hợp hỗn_hợp xài kết_hợp dưỡng,0
469,mua kcn tặng 1 srm mini thời hạn đến khi nào vậy ạ,10/5/2023,13:14,5,204900013,tặng thời_hạn,0
1944,10₫,18/11/2023,15:41,5,422209262,,0
306,Tẩy sạch giá lại phải chăng.,3/1/2021,10:11,4,205100146,sạch,0
421,"mình da hỗn hợp thiên dầu dùng ẻm xong kh hề bị khô căng da như những sp khác, dạng gel trong suốt mà bọt lên cũng kha khá đủ để massage mặt. Da mình mụn ẩn mà trộm vía dùng loại này kh bị đẩy mụn. Nói chung tuy giá hơi cao nhưng đáng mua nhé",14/11/2022,7:43,5,422208975,hỗn_hợp khô căng khà mát mụn_ẩn trộm_vía đẩy hơi,0
270,"đây là da mình sau hơn 1 tháng sd nha rất ok luôn thâm mờ hẳn, đỡ mụn viêm luôn các bạn nên kiên trì nha cứ sd mới 1 2 tuần mà muốn hết hẳn thì k đc đâu",27/03/2022,19:06,5,327500002,đồng_ý thâm_mờ hẳn đỡ mụn hẳn,0
2382,"Sử dụng nhẹ nhàng , rất thoải mái , thư giãn tột độ",29/04/2023,12:40,5,308500015,nhẹ_nhàng thoải_mái,0
1490,Rửa xong cảm giác rất sạch và nhẹ tênh. Trong quá trình rửa thì bọt rất mịn và thơm làm mình cực thích luôn <3,2/11/2020,11:57,5,204900056,rửa sạch nhẹ rửa mịn thơm cực thích,0
2498,"Mùi hương dễ chịu, làm mát nhanh, giá thành ổn",3/5/2023,18:13,5,422206537,ổn,0
1972,"mát, dịu da, thích lắm, giá thích hợp cho sinh viên và nội trợ",20/07/2023,19:01,5,100150059,mát dịu thích lắm cho_viên,0
1348,"Xài 3 chai tinh chất màu tím giờ chuyển qua chai này, chất sửa màu hồng nhạt mùi thom dê chịu và mỏng nhẹ, k bị đổ dầu.",22/05/2021,13:24,5,422207414,xài tím chất sửa hồng_nhạt thơm dê mỏng nhẹ đổ,0
801,Quá ok,13/10/2020,19:19,5,100230064,,0
679,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ.",2/5/2023,10:00,5,422205164,dễ_dàng thoải_mái,0
138,Đắp 1 lần mê luôn phải mua lại á,2/7/2023,20:04,5,422205809,đắp mê,0
1394,"Mình da dầu mụn, mới mua xài thấy mát nhẹ mặt, cơ mà tối thoa sáng ngày mặt như chảo dầu. Mụn bị lên nhiều. Sau mới biết trong sp này có cồn nên ko hợp. :(",5/10/2021,12:11,3,422200305,mụn xài mát nhẹ,1
350,dùng ổn k bị sơ,6/8/2022,14:11,5,422203301,ổn,0
715,Tốt,20/04/2023,10:06,5,200400004,tốt,0
1734,mùi dễ chịu và giảm mụn,20/11/2023,10:08,5,100220037,,0
3854,"lọ nhỏ xíu mà giá đắt quá , mình dùng hết lọ rồi mà ko có hiệu quả . thất vọng quá",28/03/2022,14:56,1,100210020,đắt thất_vọng,1
2241,"Mình sd 1 lọ thử và trắng mịn lên từng ngày nha . Kiếm mãi mới có loại hợp do da mặt nhạy cảm , mua lọ thứ 2 rồi",10/10/2023,20:20,5,206400009,lọ thử trắng mịn kiếm mãi,0
689,"Mui huong de chịu, lam mat nhanh , gia thành ổn",1/5/2023,9:30,5,204100019,chiếu_chóng thành ổn,0
140,"mình dùng hơn tháng r. Da mình đang treatment tretinoin nên rất khô và nhạy cảm, sd xịt khoáng này thấy ẩm hơn và dịu da hơn, sp ko chỉ có nc ko thôi mà còn các chất dịu da khác nữa nên mình rất ưng. Ngoài ra vòi xịt phun sương luôn nên thấm da rất nhanh ạ",13/12/2023,23:42,5,204100078,đối_xử tretinoin khô ẩm dịu mà_còn dịu ưng xịt thấm chóng,0
415,Tuyệt vời,15/03/2023,7:31,5,422208974,,0
35,"Sản phẩm dùng rất hiệu quả,cực kì phù hợp cho các bạn,giá thành oke nên mua nha",17/04/2023,13:48,5,100230059,hiệu_quả giá_thành,0
4319,sản phẩm lỏng như nước á. Đổ rahari cẩn thận. Chưa thấy hiệu quả trắng sáng,11/4/2020,17:53,4,223600032,lỏng đổ trắng,0
403,Sản phẩm này dùng tốt,15/04/2023,20:27,5,422208972,tốt,0
616,"Với da mình thì nó chống nắng ổn, kháng bụi, không nặng mặt, thấm nhanh, không lên tông da,… trừ 1 sao là hương liệu hơi gắt không hợp với mình, nhưng vẫn sẽ mua thêm để sử dụng",27/03/2022,2:21,4,253900006,chống ổn không_nặng thấm không_lên hơi gắt không_hợp,0
1162,"xài e này bth rất ok, finish đẹp nhma một hôm quên dưỡng ẩm là bị khô da bong tróc đồ luôn (nhẹ)",2/9/2023,17:31,4,422217292,xài hoàn_thành đẹp nhma khô tróc_đồ nhẹ,0
2438,Mặt nạ xài rất tốt,8/11/2020,0:07,5,422205162,xài tốt,0
2466,"GIao hàng rất nhanh, sẽ quay lại review chất lượng sau :3",18/06/2019,16:19,5,422205160,,0
236,đỉnh thật sự,30/11/2021,21:32,5,422204259,,0
3338,"sữa chống nắng xài rất tốt, mỏng nhẹ thấm nhanh nhưng có mùi cồn",4/10/2019,19:19,4,223600010,chống xài tốt mỏng nhẹ,0
1453,Mình da dầu. Srm rửa sạch sâu quá khô 2 bênh cánh mũi tróc da. Nguyên mặt căng,20/08/2022,11:48,3,204900159,rửa sạch sâu khô_bênh cánh nguyên căng,1
2427,"Đắp vào các đốt mụn sưng giảm hẵn , sạch các sợi bã nhờn",2/6/2021,12:25,5,422202253,đắp sưng sạch,0
341,"Trong các loại tẩy trang mình từng dùng thì loại này để lại hậu cảm tốt nhất. Ý là sau khi dùng, nó để lại cảm giác rất tự nhiên, ko nhờn rít. Mùi hơi khó chịu, dù mình khá dễ tính với mùi, dùng lâu thì thấy okay, không khó chịu nữa. Mát, mịn, rẻ, hậu cảm tốt.",14/03/2020,15:54,5,422211446,tốt tự_nhiên rít hơi khó_chịu dễ_tính không_khó_chịu mát rẻ hậu_cảm tốt,0
56,"cấp ẩm tốt, dịu nhẹ cho da nhạy cảm, ko mùi nên rất thích",1/8/2022,22:43,5,318900012,tốt dịu nhẹ không_mùi thích,0
2456,"Mặt nạ đắp hiệu quả thiệt, mình được bà chị cho 1 miếng về đắp thử. Mới đắp 1 lần mà da đã trắng sáng trông thấy rõ luôn.",10/2/2020,16:15,5,308500013,đắp hiệu_quả miếng đắp thử đắp trắng trông,0
966,"Da mình là da hỗn hợp dầu chữ T, khô 2 bên má, nhìn chung sản phẩm này dịu nhẹ và cấp ẩm tốt cho da mình nhé. Bình to dùng lâu hết, tuy nhiên cái vòi mỗi lần bơm dễ giăng ra nhiều hơn mức cần thiết",29/03/2023,15:47,5,357100004,khô dịu nhẹ tốt hết_nhiên bơm giăng,0
2986,"Tiện lợi do có chai nhỏ dùng thử 15ml. Rất ok, da minh bị bong ngứa, mẫn đỏ do xài Retinol ko đủ ẩm, sau khi xài kem này 2 ngày thấy đỡ rất nhiều. ai bị nên dùng thử nhé. Bé nv tư vấn rất tốt nhiệt tình. cảm ơn e",7/8/2023,16:06,5,422200342,thử ngứa_mẫn đỏ xài đỡ thử tốt,0
1711,"BHA này xài rất êm, ko có cảm giác châm chích hay khô rát. Da bạn nào khô sẽ rất thích sản phẩm này vì sau khi bôi xong da sẽ hơi có cảm giác dầu trên da. Sáng dậy rửa mặt da rất mướt và mọng ko bị khô. Dùng kiên trì sẽ giảm đc mụn và làm sạch lỗ chân lông.",6/5/2024,7:14,5,100220035,xài êm châm chích khô khô rát khô thích sản_phẩm bôi hơi dậy rửa mướt mọng khô mụn sạch,0
2749,Da dâu sai khá thích ko bị khô da sẽ dùng tiếp,13/10/2022,20:51,5,331300002,thích không_bị khô tiếp,0
676,"Giao hàng nhanh, nhưng sản phẩm không khác nhiều so với loại khác.",17/01/2023,16:16,3,226200018,không_khác,1
1495,Tốt,30/04/2020,20:11,5,204900159,tốt,0
2753,"tốt nha, mỏng mịn nhanh thấm và chống nắng cao",11/6/2022,12:45,5,422211276,tốt mỏng thấm chống,0
704,Mình rất thích Hasaki và sản phẩm tẩy trang này,28/04/2023,18:42,5,100230057,thích hasaki,0
2140,hôm qua 20/2 mình có mua sp này bên shop. mình yên tâm chỉ kiếm tra số lượng theo đơn hàng rồi mới nhận hàng. nhưng khi về khui ra mới thấy hộp không có tem mác gì cả . như có dấu hiệu ai đã khui trước đó. mình có nhắn tin hỏi shop nhưng mà k nhận dc phản hồi. mình đã mua rồi thì dùng thôi nhưng thấy lo lo vì k biết bên trong sp có vấn đề gì ko. hơi thất vọng...,21/02/2024,8:23,4,422209841,yên_tâm kiếm số_lượng,0
404,Dfhscvhhf,9/4/2023,21:46,4,200400003,,0
2796,"Bác sĩ khoa thẩm mĩ da BV đã liễu TP HCM cho bôi kem này khi lazer , dịu nhẹ tức thì, rất hiệu quả.",24/09/2024,15:13,5,100180113,liễu dịu nhẹ hiệu_quả,0
253,"Ko đọc kỹ phần chữ nhỏ là chai tảy trang nhỏ kia chỉ đc tặng ở TP HCM . Nói chung mua hàng ở hasaki cũng lâu giá cả hợp lý , hàng chính hãng cũng yên tâm",12/8/2021,8:37,4,205100146,kỹ tặng giá_cả hợp_lý yên_tâm,0
691,"MÙI HƯƠNG DỄ CHỊU, LÀM MÁT NHANH, GIÁ THÀNH ỔN.",30/04/2023,16:45,5,204100054,ổn,0
701,Mình rất thích Hasaki và sản phẩm tẩy trang này.,29/04/2023,18:34,5,100230064,thích hasaki,0
1220,em nghĩ shop nên lấy loại lớn này,25/10/2020,13:38,5,422217292,,0
2195,Không có tặng kèm bông tẩy trang,23/08/2022,7:32,4,249500028,tặng kèm,0
